Country,YEAR,TARGET_NUMBER,DOSES,COVERAGE
Spain,2023,320013,311445,97.32
Sri Lanka,2023,246512,242823,98.5
Sudan,2023,1890376,1072463,56.73
Suriname,2023,9028,8485,93.99
Sweden,2023,,,
Switzerland,2023,,,97
Syrian Arab Republic,2023,573944,449668,78.35
Tajikistan,2023,241996,237908,98.31
Thailand,2023,285121,28046,90.5
Timor-Leste,2023,32153,38751,120.52
Togo,2023,343690,330186,96.07
Tokelau,2023,27,27,100
Tonga,2023,1848,1837,99.4
Trinidad and Tobago,2023,12118,12006,99.08
Tunisia,2023,147367,133107,90.32
Turkmenistan,2023,,,98.9
Turks and Caicos Islands,2023,576,574,99.65
Tuvalu,2023,290,290,100
Uganda,2023,1956844,1851972,94.64
Ukraine,2023,181984,168337,92.5
United Arab Emirates,2023,90894,86732,95.42
United Kingdom of Great Britain and Northern Ireland,2023,,,
United Republic of Tanzania,2023,2258463,2772106,122.74
United States of America,2023,100,100,100
Uruguay,2023,31538,31059,98.48
Uzbekistan,2023,884162,870115,98.41
Vanuatu,2023,9056,7931,88
Venezuela (Bolivarian Republic of),2023,528194,342855,64.91
Viet Nam,2023,1267834,1010846,79.73
Yemen,2023,1166010,981132,84.14
Zambia,2023,856372,711822,83.12
Zimbabwe,2023,462199,465712,100.76
